First name,Last name,Title,Company
priti ,kumari,associate 2,pwc
Priti,Mishra,Senior Data Analyst,IHS Markit
Sandeep,kadam,Account Executive,Infosys
Prashant,Agarwal,Project Manager,TCS
Pratik,pawar,Test engineer,Accenture
kiran,baddam,senior sql developer ,HCL
pratik,pawar,sap abap developer,Accenture
priti,kumari,IT support Associate ,Accenture
subrat,mohanta,consultant,PwC
rohit,gupta,Senior consultant,EY
shruti,Patil,Software Engineer,Accenture
anup ,tiwari,Software Engineer,Wipro
Mukesh,kumar,Regional Collection Manager,L&T
sneha,das,brand development specialist,amazon
